ENT,Entidad,MUN,Municipio,Alf,Asi,EBC,Der,Pis,San,Agu,Dre,Ele,Lav,Ref,Ing
28,Tamaulipas,3,Altamira,0.970821616,0.966045176,0.677349774,0.844409999,0.983632548,0.908016126,0.977351311,0.933699739,0.985172659,0.758670673,0.898216793,8800.826048
28,Tamaulipas,9,Ciudad Madero,0.9856116,0.97620075,0.772674944,0.849452788,0.994447911,0.979567673,0.986335781,0.991775868,0.996447943,0.830845294,0.94939119,13800.08868
28,Tamaulipas,22,Matamoros,0.975364646,0.967053122,0.675507058,0.84398778,0.986111875,0.927003082,0.967718193,0.940643573,0.984846192,0.675242131,0.925991911,14151.48484
28,Tamaulipas,27,Nuevo Laredo,0.97689972,0.953833122,0.680283242,0.781637621,0.989032384,0.977119123,0.989134365,0.985537209,0.995661163,0.830664825,0.961831212,12189.23562
28,Tamaulipas,32,Reynosa,0.978029128,0.956457488,0.697483266,0.836337111,0.98916238,0.948169556,0.985864918,0.966965629,0.98691337,0.772056866,0.930487123,15073.68142
28,Tamaulipas,33,Río Bravo,0.96403558,0.945499361,0.601316704,0.74234685,0.980478363,0.878169501,0.97536292,0.901036914,0.983879441,0.761399143,0.918705931,10956.2865
28,Tamaulipas,38,Tampico,0.981805405,0.977871032,0.755969621,0.845247845,0.997634554,0.994008232,0.99284114,0.995331631,0.998134737,0.830511124,0.950450685,18615.67349
28,Tamaulipas,41,Victoria,0.981533858,0.983605006,0.769969676,0.925364411,0.982540205,0.956967466,0.986468145,0.969800107,0.99130095,0.836414675,0.947774853,25467.36251
29,Tlaxcala,5,Apizaco,0.97877122,0.987192118,0.773071655,0.811432126,0.995457526,0.990587244,0.994567762,0.995036059,0.997096563,0.66114077,0.847710031,10282.57776
29,Tlaxcala,8,Cuapiaxtla,0.938803352,0.960833074,0.529549444,0.912823112,0.982566058,0.91582675,0.996458731,0.961863253,0.996186325,0.439662217,0.551893217,9057.026237
29,Tlaxcala,10,Chiautempan,0.977040019,0.981165097,0.728332975,0.800602728,0.991219008,0.979051882,0.995982553,0.986685032,0.996786042,0.494892103,0.735996327,11368.43788
29,Tlaxcala,13,Huamantla,0.946521125,0.963442623,0.592813523,0.850782004,0.976124269,0.909674945,0.988349794,0.950378752,0.989260715,0.438632659,0.577332438,7640.429856
29,Tlaxcala,17,Mazatecochco de José María Morelos,0.941522763,0.953524004,0.55039267,0.616121472,0.9159699,0.951923077,0.996655518,0.977424749,0.992892977,0.289715719,0.466973244,6615.702671
29,Tlaxcala,18,Contla de Juan Cuamatzi,0.959997127,0.980727721,0.694192573,0.810928088,0.964711171,0.945380984,0.993818836,0.967745561,0.99438076,0.34378512,0.596988087,5874.7851
29,Tlaxcala,25,San Pablo del Monte,0.920577754,0.955951514,0.520142,0.806683575,0.958217098,0.952637778,0.962804538,0.966710061,0.991693013,0.451180956,0.603992313,9578.657349
29,Tlaxcala,26,Santa Cruz Tlaxcala,0.971822167,0.977476255,0.690526022,0.871082968,0.983536703,0.939957389,0.99535154,0.957389115,0.994383111,0.547356188,0.74336626,11265.28807
29,Tlaxcala,28,Teolocholco,0.946638905,0.97622164,0.663344474,0.80189067,0.972988077,0.956594635,0.990871833,0.971311475,0.992548435,0.423248882,0.627608048,13536.41967
29,Tlaxcala,31,Tetla de la Solidaridad,0.965619806,0.981487549,0.698531668,0.863493459,0.987289632,0.929504531,0.977521478,0.960456632,0.989290338,0.583617747,0.775214782,9466.24157
29,Tlaxcala,32,Tetlatlahuca,0.979600122,0.972407655,0.662519123,0.843876723,0.98297604,0.930643127,0.987074401,0.950504414,0.992749054,0.632723834,0.712484237,8094.044949
29,Tlaxcala,33,Tlaxcala,0.986565923,0.979524863,0.829086208,0.820187371,0.993790456,0.98024236,0.99100557,0.995747403,0.996349541,0.70137739,0.872798434,13887.83263
29,Tlaxcala,36,Totolac,0.984665801,0.978663672,0.808550186,0.819596341,0.990849903,0.974309344,0.99225761,0.989266233,0.996480732,0.619919057,0.841456977,13025.91378
29,Tlaxcala,41,Papalotla de Xicohténcatl,0.969104256,0.967924528,0.675362184,0.763664891,0.96024335,0.964063384,0.984861347,0.9721279,0.995472552,0.456140351,0.744765139,5480.186892
29,Tlaxcala,42,Xicohtzinco,0.98160965,0.987012987,0.729319579,0.820942157,0.980882353,0.973235294,0.994117647,0.978529412,0.995882353,0.57,0.794117647,8930.607473
29,Tlaxcala,43,Yauhquemehcan,0.975117491,0.979872575,0.772961892,0.850909506,0.989513545,0.973104185,0.992426449,0.985629673,0.995339353,0.63190601,0.840372852,9427.411549
29,Tlaxcala,44,Zacatelco,0.974581704,0.976854514,0.714074408,0.808527032,0.985121378,0.968089272,0.990700861,0.977290525,0.995399374,0.534553641,0.764780736,7440.51871
29,Tlaxcala,48,La Magdalena Tlaltelulco,0.973144876,0.982005822,0.659017682,0.871213463,0.969284122,0.935843448,0.988357691,0.966559326,0.993807283,0.405746842,0.66608868,7007.698936
29,Tlaxcala,53,San Juan Huactzinco,0.970539495,0.977326036,0.704004429,0.748025739,0.973619632,0.932515337,0.97791411,0.962576687,0.984662577,0.595705521,0.686503067,9446.340308
30,Veracruz de Ignacio de la Llave,23,Atzalan,0.822349652,0.914174252,0.32854737,0.806969579,0.908369723,0.777510917,0.913755459,0.914992722,0.962518195,0.340320233,0.639810771,3555.175963
