Date,DIS,AMZ
16/10/20,126.809998,3272.709961
19/10/20,124.230003,3207.209961
20/10/20,124.949997,3217.01001
21/10/20,126.629997,3184.939941
22/10/20,127.559998,3176.399902
23/10/20,128.350006,3204.399902
26/10/20,124.059998,3207.040039
27/10/20,123.309998,3286.330078
28/10/20,118.470001,3162.780029
29/10/20,121.540001,3211.01001
30/10/20,121.25,3036.149902
02/11/20,120.129997,3004.47998
03/11/20,124.019997,3048.409912
04/11/20,125.07,3241.159912
05/11/20,126.959999,3322
06/11/20,127.459999,3311.370117
09/11/20,142.589996,3143.73999
10/11/20,142.110001,3035.02002
11/11/20,137.820007,3137.389893
12/11/20,135.520004,3110.280029
13/11/20,138.360001,3128.810059
16/11/20,144.669998,3131.060059
17/11/20,144.5,3135.659912
18/11/20,143.899994,3105.459961
19/11/20,141.720001,3117.02002
20/11/20,141.070007,3099.399902
23/11/20,145.979996,3098.389893
24/11/20,151.490005,3118.060059
25/11/20,149.089996,3185.070068
27/11/20,147.130005,3195.340088
30/11/20,148.009995,3168.040039
01/12/20,149.440002,3220.080078
02/12/20,153.610001,3203.530029
03/12/20,153.240005,3186.72998
04/12/20,154.139999,3162.580078
07/12/20,153.679993,3158
08/12/20,153.720001,3177.290039
09/12/20,154.429993,3104.199951
10/12/20,154.690002,3101.48999
11/12/20,175.720001,3116.419922
14/12/20,169.300003,3156.969971
15/12/20,173.940002,3165.120117
16/12/20,173.119995,3240.959961
17/12/20,173.550003,3236.080078
18/12/20,172.889999,3201.649902
21/12/20,170.690002,3206.179932
22/12/20,170.449997,3206.52002
23/12/20,173.550003,3185.27002
24/12/20,173.729996,3172.689941
28/12/20,178.860001,3283.959961
29/12/20,177.300003,3322
30/12/20,181.169998,3285.850098
31/12/20,181.179993,3256.929932
04/01/21,177.679993,3186.629883
05/01/21,178.440002,3218.51001
06/01/21,179.119995,3138.379883
07/01/21,178.580002,3162.159912
08/01/21,178.690002,3182.699951
11/01/21,179.089996,3114.209961
12/01/21,175.990005,3120.830078
13/01/21,176.119995,3165.889893
14/01/21,173.429993,3127.469971
15/01/21,171.440002,3104.25
19/01/21,172.259995,3120.76001
20/01/21,173.639999,3263.379883
21/01/21,171.279999,3306.98999
22/01/21,172.779999,3292.22998
25/01/21,171.889999,3294
26/01/21,169.559998,3326.129883
27/01/21,163.029999,3232.580078
28/01/21,171.880005,3237.620117
29/01/21,168.169998,3206.199951
01/02/21,170.970001,3342.879883
02/02/21,176.960007,3380
03/02/21,176.429993,3312.530029
04/02/21,180.229996,3331
05/02/21,181.160004,3352.149902
08/02/21,190,3322.939941
09/02/21,188.210007,3305
10/02/21,189.630005,3286.580078
11/02/21,190.910004,3262.129883
12/02/21,187.669998,3277.709961
16/02/21,186.350006,3268.949951
17/02/21,186.440002,3308.639893
18/02/21,183,3328.22998
